"gene_symbol","log2FoldChange","padj","baseMean","regulation","ensembl_id"
"A4GALT",1.37283837836178,0.000140987489437963,1066.02857142857,"Up-regulated","ENSG00000128274"
"UGDH",1.36925829167157,0.000109191567159486,482.6,"Up-regulated","ENSG00000109814"
"ICAM1",1.3689402520462,6.36919817662154e-06,534.028571428571,"Up-regulated","ENSG00000090339"
"XYLT1",1.34910872062284,0.000137360490227306,356.371428571429,"Up-regulated","ENSG00000103489"
"P3H1",1.3480565924244,0.000690072663088106,812.6,"Up-regulated","ENSG00000117385"
"CST3",1.33444592248502,0.00151660458429954,12081.8857142857,"Up-regulated","ENSG00000101439"
"NAGLU",1.33198971562399,0.000978476981673347,828.228571428571,"Up-regulated","ENSG00000108784"
"SULF2",1.32692516169769,0.000394720626013258,2219.68571428571,"Up-regulated","ENSG00000196562"
"HK2",-1.32613794709673,0.0210775190081284,3810.6,"Down-regulated","ENSG00000159399"
"LGALS3",1.32080596688113,0.00125102001134093,5384.28571428571,"Up-regulated","ENSG00000131981"
"B3GNT4",1.32007024834622,0.0155009738646054,10.1142857142857,"Up-regulated","ENSG00000176383"
"B3GAT3",1.31264078631557,0.000423629001437496,621.885714285714,"Up-regulated","ENSG00000149541"
"ELOVL5",1.31028280969472,0.00185827760665867,1815.31428571429,"Up-regulated","ENSG00000012660"
"XXYLT1",1.30965945135178,3.92494824745395e-05,243.114285714286,"Up-regulated","ENSG00000173950"
"ELOVL1",1.30622124984224,9.96192484574691e-05,1043.25714285714,"Up-regulated","ENSG00000066322"
"DSEL",1.29383043156349,8.3969041612688e-06,236.371428571429,"Up-regulated","ENSG00000171451"
"FBXO2",1.28830020052274,0.0105275236013041,53,"Up-regulated","ENSG00000116661"
"UST",1.28395116718081,0.00084252306924145,225,"Up-regulated","ENSG00000111962"
"CHSY3",1.27605100516944,0.00619161261643615,124.571428571429,"Up-regulated","ENSG00000198108"
"FBXO27",1.26316926071675,0.0358046494053706,86.8285714285714,"Up-regulated","ENSG00000161243"
"LY75",1.24546468925477,0.00474914339523144,100.885714285714,"Up-regulated","ENSG00000054219"
"ELOVL4",1.2453305860831,0.0117589781079578,34.1714285714286,"Up-regulated","ENSG00000118402"
